Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
          97.36,97.35596926,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
          64.13,64.13407483,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
          91.20,91.20418818,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
         226.89,226.8883197,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
          91.22,91.22460208,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
          30.32,30.32413494,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
          43.39,43.38848497,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
          44.64,44.63732158,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
          42.89,42.89131639,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
         149.34,149.3385243,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
          34.20,34.20370362,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
          56.28,56.28303918,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.00,0,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.82,0.822685739,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
