Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
          93.22,93.22137345,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
          19.97,19.96657877,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
          29.41,29.41072417,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
          67.40,67.3992711,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
          31.10,31.10455289,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
         415.16,415.1638312,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
"       3,295.86",3295.862679,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
          62.47,62.47288611,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
         292.93,292.9305459,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
          41.47,41.47053081,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
         136.33,136.3302679,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
         358.97,358.9656189,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
          96.45,96.44856141,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
         127.79,127.7934575,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
          70.55,70.54596384,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
          17.04,17.04114791,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
         242.84,242.8437176,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
         165.90,165.8986746,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
          81.82,81.82293093,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
         207.86,207.8607309,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
          63.73,63.72860318,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
         164.42,164.4246539,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
         264.68,264.6844148,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
         132.69,132.6882482,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
         102.29,102.2888193,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
          25.35,25.34552839,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
          30.26,30.26243263,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
          74.30,74.29748098,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
          24.08,24.08093674,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
         450.96,450.9576695,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
"       3,235.18",3235.183822,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
          75.96,75.96163542,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
         215.26,215.2554708,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
          30.29,30.29044597,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
         155.34,155.338263,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
