HealthBoard,FinancialYear,Category breakdown,MetricType,Value
Wales,2015-16,hearing_problems_total,Expenditure,33180.81583
Wales,2015-16,circulation_problems_total,Expenditure,456145.9611
Wales,2015-16,coronary_heart_disease,Expenditure,105700.2768
Wales,2015-16,cerebrovascular_disease,Expenditure,84992.80511
Wales,2015-16,other_problems_of_circulation,Expenditure,265452.8792
Wales,2015-16,respiratory_problems_total,Expenditure,406502.8172
Wales,2015-16,dental_problems_total,Expenditure,200385.1493
Wales,2015-16,gastro_intestinal_problems_total,Expenditure,365453.4533
Wales,2015-16,skin_problems_total,Expenditure,138861.4716
Wales,2015-16,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,357783.7851
Wales,2015-16,trauma_injuries_inc_burns_total,Expenditure,440429.3738
Wales,2015-16,genito_urinary_system_disorders_exc_infertility_total,Expenditure,318100.4074
Wales,2015-16,genital_tract_problems,Expenditure,66252.00106
Wales,2015-16,renal_problems,Expenditure,92346.89771
Wales,2015-16,chronic_renal_failure,Expenditure,0.0
Wales,2015-16,sexually_transmitted_infections,Expenditure,17750.075
Wales,2015-16,other_problems_of_the_genito_urinary_system,Expenditure,141751.4336
Wales,2015-16,maternity_reproductive_health_total,Expenditure,200809.0767
Wales,2015-16,neonates_total,Expenditure,54332.08796
Wales,2015-16,poisoning_total,Expenditure,68835.08173
Wales,2015-16,healthy_individuals_includes_screening_total,Expenditure,112298.7372
Wales,2015-16,social_care_needs_total,Expenditure,57899.02448
Wales,2015-16,other_total,Expenditure,834147.2846
Wales,2015-16,general_medical_services,Expenditure,368476.357
Wales,2015-16,open_access,Expenditure,82924.89042
Wales,2015-16,continuing_care,Expenditure,126593.7055
Wales,2015-16,other_phw_functions,Expenditure,76745.0
Wales,2015-16,other_expenditure,Expenditure,179407.3317
Wales,2016-17,total,Expenditure,6381461.871
Wales,2016-17,infectious_diseases_total,Expenditure,86672.13916
Wales,2016-17,cancers_tumours_total,Expenditure,452835.276
Wales,2016-17,blood_disorders_total,Expenditure,56726.55722
Wales,2016-17,endocrine_nutritional_metabolic_problems_total,Expenditure,239654.5383
Wales,2016-17,diabetes,Expenditure,111306.3251
Wales,2016-17,other_endocrine_nutritional_and_metabolic_problems,Expenditure,128348.2132
Wales,2016-17,mental_health_problems_total,Expenditure,712264.3478
Wales,2016-17,general_mental_illness,Expenditure,312059.8325
Wales,2016-17,elderly_mental_illness,Expenditure,228784.2163
Wales,2016-17,child_adolescent_mental_health_services,Expenditure,48853.60814
Wales,2016-17,other_mental_health_problems,Expenditure,122566.6908
Wales,2016-17,learning_disability_problems_total,Expenditure,144459.541
Wales,2016-17,neurological_system_problems_total,Expenditure,317843.643
Wales,2016-17,eyevision_problems_total,Expenditure,161637.2557
Wales,2016-17,hearing_problems_total,Expenditure,34747.44813
Wales,2016-17,circulation_problems_total,Expenditure,468933.6546
Wales,2016-17,coronary_heart_disease,Expenditure,112937.4431
Wales,2016-17,cerebrovascular_disease,Expenditure,86197.23725
Wales,2016-17,other_problems_of_circulation,Expenditure,269798.9743
Wales,2016-17,respiratory_problems_total,Expenditure,432147.5277
Wales,2016-17,dental_problems_total,Expenditure,199040.84
Wales,2016-17,gastro_intestinal_problems_total,Expenditure,386886.3906
Wales,2016-17,skin_problems_total,Expenditure,144531.9845
Wales,2016-17,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,377494.3509
Wales,2016-17,trauma_injuries_inc_burns_total,Expenditure,450492.1876
Wales,2016-17,genito_urinary_system_disorders_exc_infertility_total,Expenditure,322324.6755
Wales,2016-17,genital_tract_problems,Expenditure,66975.09623
Wales,2016-17,renal_problems,Expenditure,102584.5941
Wales,2016-17,chronic_renal_failure,Expenditure,0.0
Wales,2016-17,sexually_transmitted_infections,Expenditure,7103.548932
Wales,2016-17,other_problems_of_the_genito_urinary_system,Expenditure,145661.4363
Wales,2016-17,maternity_reproductive_health_total,Expenditure,208742.6988
Wales,2016-17,neonates_total,Expenditure,56138.51691
Wales,2016-17,poisoning_total,Expenditure,72239.58715
Wales,2016-17,healthy_individuals_includes_screening_total,Expenditure,132157.9011
Wales,2016-17,social_care_needs_total,Expenditure,59205.80606
Wales,2016-17,other_total,Expenditure,864285.0029
Wales,2016-17,general_medical_services,Expenditure,374276.7284
Wales,2016-17,open_access,Expenditure,86098.95282
Wales,2016-17,continuing_care,Expenditure,134011.1248
Wales,2016-17,other_phw_functions,Expenditure,61512.0
Wales,2016-17,other_expenditure,Expenditure,208386.1969
Wales,2017-18,total,Expenditure,6534940.178
Wales,2017-18,infectious_diseases_total,Expenditure,131931.4511
Wales,2017-18,cancers_tumours_total,Expenditure,463181.2689
Wales,2017-18,blood_disorders_total,Expenditure,63706.37705
Wales,2017-18,endocrine_nutritional_metabolic_problems_total,Expenditure,250231.8907
Wales,2017-18,diabetes,Expenditure,116313.1133
Wales,2017-18,other_endocrine_nutritional_and_metabolic_problems,Expenditure,133918.7774
Wales,2017-18,mental_health_problems_total,Expenditure,746248.3938
Wales,2017-18,general_mental_illness,Expenditure,338486.2214
Wales,2017-18,elderly_mental_illness,Expenditure,231694.6387
Wales,2017-18,child_adolescent_mental_health_services,Expenditure,52295.27914
Wales,2017-18,other_mental_health_problems,Expenditure,123772.2545
Wales,2017-18,learning_disability_problems_total,Expenditure,155772.7171
Wales,2017-18,neurological_system_problems_total,Expenditure,297409.4563
Wales,2017-18,eyevision_problems_total,Expenditure,171647.1026
Wales,2017-18,hearing_problems_total,Expenditure,36165.05673
Wales,2017-18,circulation_problems_total,Expenditure,482332.1127
Wales,2017-18,coronary_heart_disease,Expenditure,104550.1084
Wales,2017-18,cerebrovascular_disease,Expenditure,87731.31978
Wales,2017-18,other_problems_of_circulation,Expenditure,290050.6846
Wales,2017-18,respiratory_problems_total,Expenditure,419501.3471
Wales,2017-18,dental_problems_total,Expenditure,198929.5134
Wales,2017-18,gastro_intestinal_problems_total,Expenditure,372810.2512
Wales,2017-18,skin_problems_total,Expenditure,140287.1204
Wales,2017-18,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,366445.1698
Wales,2017-18,trauma_injuries_inc_burns_total,Expenditure,457036.9177
Wales,2017-18,genito_urinary_system_disorders_exc_infertility_total,Expenditure,304541.5391
Wales,2017-18,genital_tract_problems,Expenditure,70817.37242
Wales,2017-18,renal_problems,Expenditure,101867.463
Wales,2017-18,chronic_renal_failure,Expenditure,0.0
Wales,2017-18,sexually_transmitted_infections,Expenditure,4995.609586
Wales,2017-18,other_problems_of_the_genito_urinary_system,Expenditure,126861.094
Wales,2017-18,maternity_reproductive_health_total,Expenditure,215579.5854
Wales,2017-18,neonates_total,Expenditure,53167.65127
Wales,2017-18,poisoning_total,Expenditure,68817.12422
Wales,2017-18,healthy_individuals_includes_screening_total,Expenditure,124182.5237
Wales,2017-18,social_care_needs_total,Expenditure,61919.39405
Wales,2017-18,other_total,Expenditure,953096.214
Wales,2017-18,general_medical_services,Expenditure,405596.2643
Wales,2017-18,open_access,Expenditure,80558.56937
Wales,2017-18,continuing_care,Expenditure,141164.7595
Wales,2017-18,other_phw_functions,Expenditure,68719.0
Wales,2017-18,other_expenditure,Expenditure,257057.6208
Wales,2018-19,total,Expenditure,6802830.95
Wales,2018-19,infectious_diseases_total,Expenditure,116907.8672
Wales,2018-19,cancers_tumours_total,Expenditure,496927.0192
Wales,2018-19,blood_disorders_total,Expenditure,70289.21283
Wales,2018-19,endocrine_nutritional_metabolic_problems_total,Expenditure,269317.9475
Wales,2018-19,diabetes,Expenditure,126307.4749
Wales,2018-19,other_endocrine_nutritional_and_metabolic_problems,Expenditure,143010.4726
Wales,2018-19,mental_health_problems_total,Expenditure,755836.4356
Wales,2018-19,general_mental_illness,Expenditure,345526.8766
Wales,2018-19,elderly_mental_illness,Expenditure,228889.4731
Wales,2018-19,child_adolescent_mental_health_services,Expenditure,57038.59473
Wales,2018-19,other_mental_health_problems,Expenditure,124381.4912
Wales,2018-19,learning_disability_problems_total,Expenditure,164975.4523
Wales,2018-19,neurological_system_problems_total,Expenditure,301696.1722
Wales,2018-19,eyevision_problems_total,Expenditure,183092.7414
Wales,2018-19,hearing_problems_total,Expenditure,36809.31912
Wales,2018-19,circulation_problems_total,Expenditure,504113.6312
Wales,2018-19,coronary_heart_disease,Expenditure,101073.0442
Wales,2018-19,cerebrovascular_disease,Expenditure,90306.00242
Wales,2018-19,other_problems_of_circulation,Expenditure,312734.5846
Wales,2018-19,respiratory_problems_total,Expenditure,430669.9712
Wales,2018-19,dental_problems_total,Expenditure,201704.8089
Wales,2018-19,gastro_intestinal_problems_total,Expenditure,403249.648
Wales,2018-19,skin_problems_total,Expenditure,147812.7221
Wales,2018-19,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,378977.8268
Wales,2018-19,trauma_injuries_inc_burns_total,Expenditure,484546.6928
Wales,2018-19,genito_urinary_system_disorders_exc_infertility_total,Expenditure,319448.7899
Wales,2018-19,genital_tract_problems,Expenditure,69814.43765
Wales,2018-19,renal_problems,Expenditure,108667.8387
Wales,2018-19,chronic_renal_failure,Expenditure,0.0
Wales,2018-19,sexually_transmitted_infections,Expenditure,5216.731777
Wales,2018-19,other_problems_of_the_genito_urinary_system,Expenditure,135749.7818
Wales,2018-19,maternity_reproductive_health_total,Expenditure,223343.2507
Wales,2018-19,neonates_total,Expenditure,56373.67649
Wales,2018-19,poisoning_total,Expenditure,68537.40682
Wales,2018-19,healthy_individuals_includes_screening_total,Expenditure,135003.8475
Wales,2018-19,social_care_needs_total,Expenditure,66883.04671
Wales,2018-19,other_total,Expenditure,986313.463
Wales,2018-19,general_medical_services,Expenditure,435595.6555
Wales,2018-19,open_access,Expenditure,81568.75803
Wales,2018-19,continuing_care,Expenditure,144759.326
Wales,2018-19,other_phw_functions,Expenditure,74410.08041
Wales,2018-19,other_expenditure,Expenditure,249979.643
Wales,2019-20,total,Expenditure,7276543.027
Wales,2019-20,infectious_diseases_total,Expenditure,121630.2102
Wales,2019-20,cancers_tumours_total,Expenditure,535943.481
Wales,2019-20,blood_disorders_total,Expenditure,83312.78769
Wales,2019-20,endocrine_nutritional_metabolic_problems_total,Expenditure,288730.211
Wales,2019-20,diabetes,Expenditure,139940.1072
Wales,2019-20,other_endocrine_nutritional_and_metabolic_problems,Expenditure,148790.1038
Wales,2019-20,mental_health_problems_total,Expenditure,809849.6612
Wales,2019-20,general_mental_illness,Expenditure,377844.945
Wales,2019-20,elderly_mental_illness,Expenditure,241086.0235
Wales,2019-20,child_adolescent_mental_health_services,Expenditure,72544.7923
