Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
           1.6,1.608527043,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
           0.9,0.871915485,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
           1.3,1.33099807,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
           2.4,2.403396891,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
           1.8,1.843140207,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
           2.4,2.370848097,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
           5.0,4.957273743,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
           3.5,3.501094971,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
           0.8,0.778761384,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
           1.9,1.858549116,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
           1.3,1.294891564,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
           1.3,1.280288782,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
           4.9,4.931154098,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
           1.1,1.095714252,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
