Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
           1.9,1.931045948,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
           9.1,9.054525553,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
           1.3,1.281860107,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
           4.2,4.213988304,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
          11.1,11.09567921,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
           3.0,2.981238987,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
           4.0,3.950114261,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
           2.2,2.180585949,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
           0.5,0.526744348,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
           7.5,7.506334444,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
           5.1,5.127952033,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
           2.5,2.529158633,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
           6.4,6.425005267,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
           2.0,1.969860345,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
           5.1,5.082389842,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
           8.2,8.181433556,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
           4.1,4.10141295,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
           3.2,3.161762205,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
           0.8,0.783433949,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
           0.9,0.935416171,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
           2.3,2.296545886,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
           0.7,0.744345238,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
          13.9,13.93916681,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
         100.0,100,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
           2.4,2.362868939,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
           6.7,6.695754551,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
           0.9,0.942217128,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
           4.8,4.831964909,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
          12.2,12.18815784,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
           1.1,1.057755189,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
           4.3,4.313355687,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
           2.6,2.621400913,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
           0.6,0.646538886,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
           7.4,7.368009619,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
           6.7,6.671795201,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
           2.9,2.862467291,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
           7.0,7.02965206,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
           2.7,2.690439119,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
           3.9,3.898817425,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
           8.4,8.356264072,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
           4.5,4.540617175,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
           3.3,3.263954504,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
           0.9,0.943758429,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
           0.9,0.911282192,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
           3.1,3.055556389,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
           1.3,1.330260568,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
          11.4,11.41711191,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
         100.0,100,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
           2.2,2.179798049,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
           7.5,7.509418608,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
           0.9,0.903185112,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
           4.2,4.169657193,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
          10.8,10.78384089,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
           2.5,2.466342588,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
           3.7,3.696285015,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
           2.5,2.510173316,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
           0.3,0.346117283,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
           6.8,6.837574035,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
           5.5,5.471532303,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
           2.3,2.277094885,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
           6.7,6.73700813,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
           2.1,2.068356457,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
           5.1,5.115884276,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
           7.5,7.474226917,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
           4.1,4.122430197,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
