Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
"      18,018",18017.73432,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
"      20,429",20428.93439,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
"      66,034",66034.17279,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
"      14,148",14148.12223,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
"      21,448",21448.04618,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0,0,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
          63,63.26469292,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
"      26,288",26288.09114,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
"      81,590",81590.0437,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
"      20,565",20565.09358,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
"      11,147",11147.48032,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
"      17,017",17016.87267,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
"      30,728",30727.54182,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
"      23,315",23315.16727,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
"      29,991",29990.51279,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
"      62,708",62708.0165,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
"      44,288",44287.79459,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
"       9,851",9851.096436,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
"      23,510",23510.08532,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
"      16,380",16379.98743,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
"      16,195",16195.26664,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
"      62,378",62377.61087,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
"      13,860",13860.45455,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
"      16,889",16889.12892,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0,0,Expenditure (£000),1,1,,Swansea Bay University Health Board,7A3,5,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
